"EC_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"OBS_STATUS_FR";"TIME_PERIOD";"OBS_VALUE"
"LVB";"M";"05";"DEP";"D";2023-12;90
"LVB";"M";"05";"DEP";"D";2023-02;94
"LVB";"A";"02";"DEP";"D";2018;5571
"LVB_CUMR";"A";"30";"DEP";"D";2020;590
"LVB";"M";"05";"DEP";"D";2024-07;100
"LVB";"M";"26";"DEP";"D";2024-09;409
"LVB";"A";"06";"DEP";"D";2020;11216
"LVB";"A";"30";"DEP";"D";2019;7484
"LVB";"M";"27";"DEP";"PROV";2025-04;407
"LVB";"A";"05";"DEP";"D";2018;1235
"LVB";"A";"2B";"DEP";"PROV";2025;1169
"LVB";"M";"01";"DEP";"D";2024-05;557
"LVB";"M";"26";"DEP";"D";2024-12;362
"LVB";"M";"03";"DEP";"D";2024-12;184
"LVB";"M";"05";"DEP";"D";2021-11;132
"LVB";"M";"30";"DEP";"D";2022-01;643
"LVB";"M";"38";"DEP";"PROV";2026-01;1020
"LVB";"M";"03";"DEP";"D";2022-03;199
"LVB";"M";"2A";"DEP";"D";2024-07;112
"LVB";"M";"41";"DEP";"PROV";2025-07;221
"LVB_CUMR";"A";"05";"DEP";"D";2020;100
"LVB";"M";"2B";"DEP";"D";2021-11;141
"LVB";"M";"02";"DEP";"D";2023-03;449
"LVB";"M";"39";"DEP";"D";2024-10;170
"LVB";"M";"2B";"DEP";"D";2022-01;120
"LVB_CUMR";"A";"23";"DEP";"PROV";2025;64
"LVB";"A";"02";"DEP";"D";2021;5348
"LVB";"M";"08";"DEP";"D";2021-04;200
"LVB";"M";"38";"DEP";"D";2023-06;1046
"LVB_CUMR";"A";"29";"DEP";"D";2016;724
"LVB";"M";"23";"DEP";"D";2022-12;56
"LVB";"A";"37";"DEP";"D";2022;5848
"LVB";"M";"11";"DEP";"D";2023-12;246
"LVB";"A";"04";"DEP";"D";2017;1447
"LVB";"M";"26";"DEP";"D";2024-08;397
"LVB";"M";"25";"DEP";"D";2022-10;403
"LVB";"M";"41";"DEP";"D";2022-03;235
"LVB_CUMR";"A";"28";"DEP";"PROV";2026;363
"LVB";"M";"10";"DEP";"D";2024-09;205
"LVB";"M";"03";"DEP";"D";2021-06;209
"LVB";"M";"23";"DEP";"D";2021-03;72
"LVB";"M";"29";"DEP";"D";2021-11;710
"LVB";"M";"39";"DEP";"D";2022-02;185
"LVB";"M";"09";"DEP";"D";2021-07;121
"LVB_CUMR";"A";"06";"DEP";"PROV";2025;929
"LVB_CUMR";"A";"22";"DEP";"D";2020;409
"LVB";"A";"27";"DEP";"D";2020;6181
"LVB";"M";"06";"DEP";"D";2024-07;871
"LVB";"M";"11";"DEP";"D";2022-02;241
"LVB";"M";"38";"DEP";"D";2022-10;1142
"LVB_CUMR";"A";"26";"DEP";"D";2024;401
"LVB";"M";"22";"DEP";"PROV";2025-04;365
"LVB";"M";"03";"DEP";"PROV";2025-05;211
"LVB";"M";"07";"DEP";"D";2024-04;183
"LVB";"M";"28";"DEP";"D";2021-01;337
"LVB";"M";"42";"DEP";"D";2023-04;564
"LVB";"A";"05";"DEP";"D";2024;1122
"LVB";"M";"23";"DEP";"PROV";2025-01;64
"LVB";"A";"12";"DEP";"PROV";2025;1862
"LVB";"M";"37";"DEP";"D";2021-07;559
"LVB_CUMR";"A";"26";"DEP";"D";2023;382
"LVB";"M";"06";"DEP";"D";2022-11;922
"LVB";"M";"23";"DEP";"D";2024-02;40
"LVB";"M";"07";"DEP";"D";2023-01;227
"LVB";"M";"39";"DEP";"D";2023-05;177
"LVB";"M";"25";"DEP";"D";2023-07;494
"LVB";"M";"03";"DEP";"D";2023-10;216
"LVB";"M";"2A";"DEP";"D";2022-09;128
"LVB";"M";"10";"DEP";"D";2022-09;275
"LVB";"M";"40";"DEP";"D";2024-10;270
"LVB";"M";"22";"DEP";"D";2022-11;379
"LVB";"M";"01";"DEP";"D";2022-05;559
"LVB";"A";"07";"DEP";"D";2021;2890
"LVB";"M";"28";"DEP";"D";2024-11;299
"LVB";"M";"27";"DEP";"D";2023-01;480
"LVB";"M";"22";"DEP";"D";2021-09;485
"LVB";"A";"37";"DEP";"D";2016;6400
"LVB";"M";"02";"DEP";"D";2023-08;453
"LVB";"M";"09";"DEP";"D";2022-09;94
"LVB";"A";"2A";"DEP";"PROV";2025;1125
"LVB";"M";"05";"DEP";"D";2023-07;96
"LVB";"M";"21";"DEP";"PROV";2025-07;380
"LVB";"M";"12";"DEP";"D";2023-07;171
"LVB";"A";"39";"DEP";"D";2019;2364
"LVB";"A";"19";"DEP";"D";2023;1690
"LVB";"M";"26";"DEP";"PROV";2025-03;361
"LVB_CUMR";"A";"07";"DEP";"D";2019;260
"LVB";"M";"21";"DEP";"D";2023-10;410
"LVB";"A";"17";"DEP";"D";2023;4628
"LVB_CUMR";"A";"37";"DEP";"D";2020;493
"LVB";"M";"16";"DEP";"D";2023-09;234
"LVB";"M";"02";"DEP";"D";2022-07;498
"LVB";"M";"12";"DEP";"D";2021-07;215
"LVB";"M";"69";"DEP";"D";2021-04;1975
"LVB";"M";"95";"DEP";"D";2023-08;1537
"LVB";"M";"973";"DEP";"D";2022-07;616
"LVB";"M";"23";"DEP";"PROV";2025-09;50
"LVB";"M";"29";"DEP";"PROV";2025-11;557
"LVB";"A";"68";"DEP";"D";2019;7705
"LVB";"M";"79";"DEP";"D";2023-07;302
"LVB";"M";"01";"DEP";"D";2024-11;533
"LVB";"M";"38";"DEP";"D";2021-04;1128
"LVB_CUMR";"A";"13";"DEP";"D";2019;2104
"LVB";"M";"18";"DEP";"D";2023-09;205
"LVB";"A";"973";"DEP";"PROV";2025;6627
"LVB";"M";"91";"DEP";"PROV";2025-03;1440
"LVB";"M";"41";"DEP";"D";2024-04;225
"LVB";"M";"84";"DEP";"D";2022-07;531
"LVB";"M";"69";"DEP";"D";2024-05;1821
"LVB";"M";"26";"DEP";"D";2022-11;413
"LVB_CUMR";"A";"21";"DEP";"D";2018;419
"LVB";"M";"02";"DEP";"D";2021-05;434
"LVB_CUMR";"A";"972";"DEP";"PROV";2025;250
"LVB";"M";"10";"DEP";"D";2021-01;225
"LVB";"M";"82";"DEP";"PROV";2025-10;179
"LVB";"M";"15";"DEP";"D";2022-06;99
"LVB_CUMR";"A";"94";"DEP";"D";2018;1695
"LVB";"M";"36";"DEP";"PROV";2025-10;116
"LVB";"M";"23";"DEP";"D";2023-02;61
"LVB";"M";"70";"DEP";"PROV";2025-06;159
"LVB_CUMR";"A";"84";"DEP";"D";2023;486
"LVB";"A";"972";"DEP";"PROV";2025;2921
"LVB";"M";"12";"DEP";"D";2022-09;175
"LVB";"M";"28";"DEP";"D";2024-01;348
"LVB";"M";"37";"DEP";"D";2022-03;483
"LVB";"A";"01";"DEP";"D";2021;7022
"LVB";"M";"15";"DEP";"D";2024-07;75
"LVB";"M";"11";"DEP";"D";2024-09;242
"LVB";"M";"21";"DEP";"D";2021-10;442
"LVB";"M";"94";"DEP";"PROV";2025-07;1522
"LVB";"M";"67";"DEP";"D";2024-11;836
"LVB_CUMR";"A";"85";"DEP";"D";2020;490
"LVB";"M";"03";"DEP";"PROV";2025-09;192
"LVB";"A";"29";"DEP";"D";2016;8419
"LVB";"M";"93";"DEP";"D";2021-11;2266
"LVB_MEAN1";"M";"F";"FRANCE";"PROV";2025-04;1724
"LVB";"M";"36";"DEP";"D";2024-08;139
"LVB";"M";"18";"DEP";"D";2022-06;229
"LVB_CUMR";"A";"26";"DEP";"D";2021;385
"LVB";"M";"12";"DEP";"D";2023-02;151
"LVB";"M";"68";"DEP";"PROV";2026-01;497
"LVB";"M";"26";"DEP";"PROV";2025-09;369
"LVB";"M";"80";"DEP";"D";2023-12;430
"LVB";"M";"22";"DEP";"D";2023-04;365
"LVB_CUMR";"A";"15";"DEP";"D";2023;68
"LVB_CUMR";"A";"974";"DEP";"D";2019;1140
"LVB";"M";"02";"DEP";"D";2024-01;384
"LVB";"M";"38";"DEP";"PROV";2025-04;940
"LVB";"M";"95";"DEP";"D";2022-02;1421
"LVB";"M";"08";"DEP";"D";2021-02;184
"LVB";"M";"70";"DEP";"D";2021-09;160
"LVB";"M";"973";"DEP";"D";2022-06;553
"LVB";"M";"81";"DEP";"D";2021-04;265
"LVB";"M";"25";"DEP";"PROV";2025-10;424
"LVB";"M";"29";"DEP";"D";2022-08;684
"LVB_CUMR";"A";"07";"DEP";"D";2016;247
"LVB";"M";"40";"DEP";"D";2021-04;260
"LVB";"M";"17";"DEP";"D";2022-08;457
"LVB";"M";"08";"DEP";"D";2022-06;219
"LVB";"M";"71";"DEP";"D";2021-04;392
"LVB";"M";"93";"DEP";"D";2023-12;2170
"LVB";"A";"974";"DEP";"D";2017;13708
"LVB_CUMR";"A";"79";"DEP";"D";2023;258
"LVB";"M";"21";"DEP";"PROV";2025-11;352
"LVB";"M";"36";"DEP";"D";2024-05;121
