code_departement,nombre_personnes_rsa,annee
01,12500,2020
02,31750,2020
03,16345,2020
04,6220,2020
05,3810,2020
06,39745,2020
07,9650,2020
08,16800,2020
09,8405,2020
10,15500,2020
11,25495,2020
12,6215,2020
13,142405,2020
14,21580,2020
15,2840,2020
16,16610,2020
17,21700,2020
18,14665,2020
19,4740,2020
21,13900,2020
22,16355,2020
23,3545,2020
24,14845,2020
25,21080,2020
26,17150,2020
27,22765,2020
28,14145,2020
29,24435,2020
2A,3455,2020
2B,5530,2020
30,51200,2020
31,59015,2020
32,4935,2020
33,60565,2020
34,65010,2020
35,29265,2020
36,8900,2020
37,22810,2020
38,37710,2020
39,5165,2020
40,11585,2020
41,11645,2020
42,30825,2020
43,4595,2020
44,47155,2020
45,27090,2020
46,5255,2020
47,14275,2020
48,1420,2020
49,25140,2020
50,11005,2020
51,24090,2020
52,6665,2020
53,6470,2020
54,34890,2020
55,7395,2020
56,19595,2020
57,42390,2020
58,8980,2020
59,192100,2020
60,34605,2020
61,11030,2020
62,93550,2020
63,25395,2020
64,20885,2020
65,8265,2020
66,38800,2020
67,45750,2020
68,27935,2020
69,82880,2020
70,6200,2020
71,15795,2020
72,22765,2020
73,8665,2020
74,14190,2020
75,88915,2020
76,69890,2020
77,55260,2020
78,42840,2020
79,11175,2020
80,29235,2020
81,16830,2020
82,10520,2020
83,48745,2020
84,28465,2020
85,11380,2020
86,20110,2020
87,15575,2020
88,16370,2020
89,13675,2020
90,7140,2020
91,52825,2020
92,49840,2020
93,160555,2020
94,77270,2020
95,67645,2020
97,390790,2020
na,18595,2020
