Date référence;Numéro commune;Nom commune;RSA ou PPA;Nombre foyers RSA_PPA;Nombre personnes RSA_PPA
2020-12;07327;UZER;RSA seul;15;15
2020-12;07332;VALVIGNERES;RSA seul;5;5
2020-12;07336;VERNON;RSA seul;5;15
2020-12;07340;VEYRAS;RSA seul;10;20
2020-12;07342;VILLEVOCANCE;RSA seul;10;25
2020-12;07344;VINZIEUX;RSA seul;0;0
2020-12;08006;ALLAND HUY ET SAUSSEUIL;RSA seul;5;5
2020-12;08013;ANGECOURT;RSA seul;5;10
2020-12;08016;AOUSTE;RSA seul;5;5
2020-12;08017;APREMONT;RSA seul;5;10
2020-12;08022;ARREUX;RSA seul;0;0
2020-12;08025;ATTIGNY;RSA seul;30;55
2020-12;08035;AUTRUCHE;RSA seul;0;0
2020-12;08037;AUVILLERS LES FORGES;RSA seul;20;55
2020-12;08040;LES AYVELLES;RSA seul;10;20
2020-12;08043;BALAN;RSA seul;40;55
2020-12;08044;BALHAM;RSA seul;0;0
2020-12;08053;BAZEILLES;RSA seul;40;65
2020-12;08062;BERTONCOURT;RSA seul;0;0
2020-12;08074;BOUCONVILLE;RSA seul;0;0
2020-12;08084;BRIENNE SUR AISNE;RSA seul;5;5
2020-12;08086;BRIQUENAY;RSA seul;5;5
2020-12;08087;BROGNON;RSA seul;0;0
2020-12;08089;BUZANCY;RSA seul;5;20
2020-12;08097;CHALLERANGE;RSA seul;5;5
2020-12;08098;CHAMPIGNEULLE;RSA seul;0;0
2020-12;08099;CHAMPIGNEUL SUR VENCE;RSA seul;0;0
2020-12;08107;CHATEAU PORCIEN;RSA seul;25;55
2020-12;08111;LE CHATELET SUR RETOURNE;RSA seul;5;10
2020-12;08116;BAIRON ET SES ENVIRONS;RSA seul;15;35
2020-12;08119;CHEVEUGES;RSA seul;5;5
2020-12;08121;CHILLY;RSA seul;0;0
2020-12;08125;CLIRON;RSA seul;0;0
2020-12;08133;COUCY;RSA seul;5;15
2020-12;08135;LA CROIX AUX BOIS;RSA seul;0;0
2020-12;08136;DAIGNY;RSA seul;5;5
2020-12;08137;DAMOUZY;RSA seul;5;10
2020-12;08144;DOUX;RSA seul;0;0
2020-12;08146;DRAIZE;RSA seul;0;0
2020-12;08164;FALAISE;RSA seul;0;0
2020-12;08167;LA FEREE;RSA seul;0;0
2020-12;08171;FLEVILLE;RSA seul;5;5
2020-12;08174;FLOING;RSA seul;35;70
2020-12;08185;FUMAY;RSA seul;145;270
2020-12;08190;GIVET;RSA seul;280;520
2020-12;08193;GIVRY;RSA seul;5;15
2020-12;08202;GUE D HOSSUS;RSA seul;10;15
2020-12;08203;GUIGNICOURT SUR VENCE;RSA seul;5;5
2020-12;08204;GUINCOURT;RSA seul;0;0
2020-12;08206;HAM LES MOINES;RSA seul;5;15
2020-12;08210;HANNOGNE SAINT REMY;RSA seul;5;5
2020-12;08214;HARGNIES;RSA seul;10;25
2020-12;08222;HAYBES;RSA seul;30;60
2020-12;08225;HERPY L ARLESIENNE;RSA seul;5;10
2020-12;08229;HOUDILCOURT;RSA seul;0;0
2020-12;08233;IMECOURT;RSA seul;0;0
2020-12;08235;ISSANCOURT ET RUMEL;RSA seul;5;5
2020-12;08239;JUNIVILLE;RSA seul;5;5
2020-12;08251;LEPRON LES VALLEES;RSA seul;0;0
2020-12;08257;LOGNY BOGNY;RSA seul;5;15
2020-12;08273;MARBY;RSA seul;0;0
2020-12;08281;MATTON ET CLEMENCY;RSA seul;5;10
2020-12;08284;LES MAZURES;RSA seul;10;25
2020-12;08295;MONDIGNY;RSA seul;5;5
2020-12;08297;MONTCORNET;RSA seul;5;5
2020-12;08303;MONTHOIS;RSA seul;5;10
2020-12;08310;MOURON;RSA seul;0;0
2020-12;08311;MOUZON;RSA seul;60;120
2020-12;08319;NEUVILLE LEZ BEAULIEU;RSA seul;0;0
2020-12;08320;LA NEUVILLE EN TOURNE A FUY;RSA seul;5;5
2020-12;08321;NEUVILLE DAY;RSA seul;0;0
2020-12;08326;NOUART;RSA seul;0;0
2020-12;08327;NOUVION SUR MEUSE;RSA seul;55;95
2020-12;08335;OMONT;RSA seul;0;0
2020-12;08338;PAUVRES;RSA seul;0;0
2020-12;08339;PERTHES;RSA seul;0;0
2020-12;08343;POURU SAINT REMY;RSA seul;20;50
2020-12;08344;PREZ;RSA seul;0;0
2020-12;08351;QUILLY;RSA seul;0;0
2020-12;08354;RAUCOURT ET FLABA;RSA seul;20;55
2020-12;08358;REMILLY LES POTHEES;RSA seul;0;0
2020-12;08369;LA ROMAGNE;RSA seul;5;5
2020-12;08373;RUMIGNY;RSA seul;10;30
2020-12;08376;SAILLY;RSA seul;0;0
2020-12;08377;SAINT AIGNAN;RSA seul;0;0
2020-12;08384;SAINT LAMBERT ET MONT DE JEUX;RSA seul;0;0
2020-12;08387;SAINT LOUP TERRIER;RSA seul;0;0
2020-12;08391;SAINT MENGES;RSA seul;30;80
2020-12;08393;SAINT PIERRE A ARNES;RSA seul;0;0
2020-12;08398;SAINTE VAUBOURG;RSA seul;0;0
2020-12;08406;SAVIGNY SUR AISNE;RSA seul;5;15
2020-12;08408;SECHEVAL;RSA seul;10;25
2020-12;08440;TARZY;RSA seul;5;10
2020-12;08448;THILAY;RSA seul;5;10
2020-12;14203;CRICQUEVILLE EN AUGE;RSA seul;0;0
2020-12;14220;DEAUVILLE;RSA seul;80;105
2020-12;14229;DOZULE;RSA seul;25;60
2020-12;14232;DUCY SAINTE MARGUERITE;RSA seul;0;0
2020-12;14242;EPRON;RSA seul;10;10
2020-12;14243;EQUEMAUVILLE;RSA seul;10;20
2020-12;14248;ESPINS;RSA seul;0;0
2020-12;14252;ESTREES LA CAMPAGNE;RSA seul;0;0
2020-12;14260;FAUGUERNON;RSA seul;0;0
2020-12;14270;FIRFOL;RSA seul;10;10
2020-12;14272;LA FOLIE;RSA seul;0;0
2020-12;14277;FONTENAY LE MARMION;RSA seul;10;20
2020-12;14278;FONTENAY LE PESNEL;RSA seul;5;5
2020-12;14280;FORMENTIN;RSA seul;5;5
2020-12;14282;FOULOGNES;RSA seul;0;0
2020-12;14289;FRESNE LA MERE;RSA seul;0;0
2020-12;14293;FUMICHON;RSA seul;5;10
2020-12;14299;GENNEVILLE;RSA seul;5;10
2020-12;14309;GOUVIX;RSA seul;5;20
2020-12;14310;GRAINVILLE LANGANNERIE;RSA seul;10;20
2020-12;14311;GRAINVILLE SUR ODON;RSA seul;5;10
2020-12;14320;GRIMBOSQ;RSA seul;0;0
2020-12;14327;HEROUVILLE SAINT CLAIR;RSA seul;745;1550
2020-12;14328;HEROUVILLETTE;RSA seul;5;10
2020-12;14329;HEULAND;RSA seul;5;5
2020-12;14332;LA HOGUETTE;RSA seul;5;15
2020-12;14334;L'HOTELLERIE;RSA seul;5;10
2020-12;14337;LA HOUBLONNIERE;RSA seul;0;0
2020-12;14338;HOULGATE;RSA seul;35;50
2020-12;14341;IFS;RSA seul;190;425
2020-12;14344;JANVILLE;RSA seul;0;0
2020-12;14355;PONTS SUR SEULLES;RSA seul;5;5
2020-12;14367;LISON;RSA seul;10;20
2020-12;14374;LES LOGES;RSA seul;0;0
