Date;Code région;Région;Code département;Département;Code commune;Commune;Type de données;Catégorie;Sexe;Tranche d'âge;Nombre de demandeurs d'emploi
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01001;L'Abergement-Clémenciat;Brutes;ABC;Femmes;Total;25
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01001;L'Abergement-Clémenciat;Brutes;ABC;Total;Moins de 25 ans;10
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01001;L'Abergement-Clémenciat;Brutes;ABC;Total;50 ans et plus;10
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01002;L'Abergement-de-Varey;Brutes;ABC;Total;Total;15
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01002;L'Abergement-de-Varey;Brutes;ABC;Total;Moins de 25 ans;0
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01004;Ambérieu-en-Bugey;Brutes;ABC;Femmes;Total;740
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01004;Ambérieu-en-Bugey;Brutes;ABC;Total;De 25 à 49 ans;860
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01006;Ambléon;Brutes;ABC;Total;Total;5
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01006;Ambléon;Brutes;ABC;Hommes;Total;5
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01006;Ambléon;Brutes;ABC;Total;50 ans et plus;0
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01007;Ambronay;Brutes;ABC;Total;Total;165
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01007;Ambronay;Brutes;ABC;Hommes;Total;75
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01007;Ambronay;Brutes;ABC;Total;Moins de 25 ans;30
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01007;Ambronay;Brutes;ABC;Total;De 25 à 49 ans;105
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01008;Ambutrix;Brutes;ABC;Total;Total;35
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01008;Ambutrix;Brutes;ABC;Total;50 ans et plus;5
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01009;Andert-et-Condon;Brutes;ABC;Total;Total;20
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01009;Andert-et-Condon;Brutes;ABC;Hommes;Total;10
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01009;Andert-et-Condon;Brutes;ABC;Total;Moins de 25 ans;0
2015-T4;84;Auvergne-Rhône-Alpes;01;Ain;01010;Anglefort;Brutes;ABC;Total;Total;80
