Date;Code région;Région;Code département;Département;Code commune;Commune;Type de données;Catégorie;Sexe;Tranche d'âge;Nombre de demandeurs d'emploi
2019-T4;24;Centre-Val-de-Loire;36;Indre;36185;Saint-Christophe-en-Bazelle;Brutes;ABC;Total;Total;20
2019-T4;24;Centre-Val-de-Loire;36;Indre;36186;Saint-Christophe-en-Boucherie;Brutes;ABC;Total;Total;15
2019-T4;24;Centre-Val-de-Loire;36;Indre;36192;Saint-Gaultier;Brutes;ABC;Total;Total;140
2019-T4;24;Centre-Val-de-Loire;36;Indre;36193;Sainte-Gemme;Brutes;ABC;Total;Total;20
2019-T4;24;Centre-Val-de-Loire;36;Indre;36208;Sainte-Sévère-sur-Indre;Brutes;ABC;Total;Total;40
2019-T4;24;Centre-Val-de-Loire;36;Indre;36210;Sarzay;Brutes;ABC;Total;Total;20
2019-T4;24;Centre-Val-de-Loire;36;Indre;36211;Sassierges-Saint-Germain;Brutes;ABC;Total;Total;35
2019-T4;24;Centre-Val-de-Loire;36;Indre;36213;Sauzelles;Brutes;ABC;Total;Total;20
2019-T4;24;Centre-Val-de-Loire;36;Indre;36214;Sazeray;Brutes;ABC;Total;Total;20
2019-T4;24;Centre-Val-de-Loire;36;Indre;36219;Tendu;Brutes;ABC;Total;Total;35
2019-T4;24;Centre-Val-de-Loire;36;Indre;36221;Thevet-Saint-Julien;Brutes;ABC;Total;Total;35
2019-T4;24;Centre-Val-de-Loire;36;Indre;36227;Urciers;Brutes;ABC;Total;Total;15
2019-T4;24;Centre-Val-de-Loire;36;Indre;36230;Vatan;Brutes;ABC;Total;Total;130
2019-T4;24;Centre-Val-de-Loire;36;Indre;36234;Verneuil-sur-Igneraie;Brutes;ABC;Total;Total;15
2019-T4;24;Centre-Val-de-Loire;36;Indre;36237;Vicq-sur-Nahon;Brutes;ABC;Total;Total;35
2019-T4;24;Centre-Val-de-Loire;36;Indre;36240;Vijon;Brutes;ABC;Total;Total;20
2019-T4;24;Centre-Val-de-Loire;36;Indre;36243;Villegouin;Brutes;ABC;Total;Total;15
2019-T4;24;Centre-Val-de-Loire;36;Indre;36246;Villiers;Brutes;ABC;Total;Total;20
2019-T4;24;Centre-Val-de-Loire;36;Indre;36247;Vineuil;Brutes;ABC;Total;Total;80
2019-T4;24;Centre-Val-de-Loire;36;Indre;36248;Vouillon;Brutes;ABC;Total;Total;20
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37007;Assay;Brutes;ABC;Total;Total;15
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37009;Autrèche;Brutes;ABC;Total;Total;35
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37010;Auzouer-en-Touraine;Brutes;ABC;Total;Total;120
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37019;Barrou;Brutes;ABC;Total;Total;40
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37020;Beaulieu-lès-Loches;Brutes;ABC;Total;Total;130
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37023;Beaumont-Village;Brutes;ABC;Total;Total;15
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37024;Benais;Brutes;ABC;Total;Total;85
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37025;Berthenay;Brutes;ABC;Total;Total;35
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37030;Le Boulay;Brutes;ABC;Total;Total;60
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37035;Braye-sous-Faye;Brutes;ABC;Total;Total;30
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37036;Braye-sur-Maulne;Brutes;ABC;Total;Total;15
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37039;Bridoré;Brutes;ABC;Total;Total;25
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37051;Champigny-sur-Veude;Brutes;ABC;Total;Total;65
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37057;La Chapelle-Blanche-Saint-Martin;Brutes;ABC;Total;Total;45
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37063;Château-Renault;Brutes;ABC;Total;Total;525
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37065;Chaveignes;Brutes;ABC;Total;Total;50
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37066;Chédigny;Brutes;ABC;Total;Total;40
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37067;Cheillé;Brutes;ABC;Total;Total;145
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37068;Chemillé-sur-Dême;Brutes;ABC;Total;Total;60
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37069;Chemillé-sur-Indrois;Brutes;ABC;Total;Total;20
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37070;Chenonceaux;Brutes;ABC;Total;Total;35
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37071;Chezelles;Brutes;ABC;Total;Total;10
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37072;Chinon;Brutes;ABC;Total;Total;755
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37074;Chouzé-sur-Loire;Brutes;ABC;Total;Total;255
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37081;Cléré-les-Pins;Brutes;ABC;Total;Total;100
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37087;Courcoué;Brutes;ABC;Total;Total;15
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37096;Dierre;Brutes;ABC;Total;Total;50
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37097;Dolus-le-Sec;Brutes;ABC;Total;Total;45
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37099;Druye;Brutes;ABC;Total;Total;55
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37103;Esves-le-Moutier;Brutes;ABC;Total;Total;10
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37106;La Ferrière;Brutes;ABC;Total;Total;25
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37107;Ferrière-Larçon;Brutes;ABC;Total;Total;20
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37109;Fondettes;Brutes;ABC;Total;Total;630
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37110;Francueil;Brutes;ABC;Total;Total;90
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37111;Genillé;Brutes;ABC;Total;Total;115
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37112;Gizeux;Brutes;ABC;Total;Total;30
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37115;Descartes;Brutes;ABC;Total;Total;310
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37121;Jaulnay;Brutes;ABC;Total;Total;15
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37122;Joué-lès-Tours;Brutes;ABC;Total;Total;3885
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37126;Lerné;Brutes;ABC;Total;Total;60
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37132;Loches;Brutes;ABC;Total;Total;610
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37137;Lublé;Brutes;ABC;Total;Total;5
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37140;Luzé;Brutes;ABC;Total;Total;30
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37142;Maillé;Brutes;ABC;Total;Total;35
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37147;Marcilly-sur-Vienne;Brutes;ABC;Total;Total;30
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37148;Marigny-Marmande;Brutes;ABC;Total;Total;55
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37152;Mettray;Brutes;ABC;Total;Total;120
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37153;Monnaie;Brutes;ABC;Total;Total;255
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37155;Monthodon;Brutes;ABC;Total;Total;60
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37158;Montreuil-en-Touraine;Brutes;ABC;Total;Total;50
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37165;Neuil;Brutes;ABC;Total;Total;40
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37170;Neuvy-le-Roi;Brutes;ABC;Total;Total;70
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37172;Notre-Dame-d'Oé;Brutes;ABC;Total;Total;265
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37174;Nouâtre;Brutes;ABC;Total;Total;75
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37175;Nouzilly;Brutes;ABC;Total;Total;65
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37176;Noyant-de-Touraine;Brutes;ABC;Total;Total;80
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37184;Le Petit-Pressigny;Brutes;ABC;Total;Total;15
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37186;Pont-de-Ruan;Brutes;ABC;Total;Total;65
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37195;La Riche;Brutes;ABC;Total;Total;1045
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37196;Richelieu;Brutes;ABC;Total;Total;145
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37198;Rillé;Brutes;ABC;Total;Total;25
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37200;Rivarennes;Brutes;ABC;Total;Total;75
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37201;Rivière;Brutes;ABC;Total;Total;60
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37202;La Roche-Clermault;Brutes;ABC;Total;Total;35
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37203;Rochecorbon;Brutes;ABC;Total;Total;220
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37205;Saché;Brutes;ABC;Total;Total;100
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37212;Sainte-Catherine-de-Fierbois;Brutes;ABC;Total;Total;60
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37216;Saint-Épain;Brutes;ABC;Total;Total;100
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37217;Saint-Étienne-de-Chigny;Brutes;ABC;Total;Total;130
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37220;Saint-Germain-sur-Vienne;Brutes;ABC;Total;Total;35
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37226;Sainte-Maure-de-Touraine;Brutes;ABC;Total;Total;330
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37229;Saint-Nicolas-des-Motets;Brutes;ABC;Total;Total;15
2019-T4;24;Centre-Val-de-Loire;37;Indre-et-Loire;37231;Saint-Paterne-Racan;Brutes;ABC;Total;Total;145
