Code Officiel du département;Nom Officiel du département;Nom Officiel Commune;Code B.Vote;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N.Pan.;Code Nuance;Sexe;Nom;Prénom;Liste;Voix;% Voix/Ins;% Voix/Exp;Nom Prénom;Code Officiel Commune;Localisation;Nom du bureau;Code Officiel Région;Nom Officiel Région;Code Iso 3166-3 Zone
34;Hérault;Cournonterral;0002;1359;634;46,65;725;53,35;14;1,03;1,93;7;0,52;0,97;704;51,80;97,10;3;LDIV;M;ARS;William;COURNON'AVENIR;407;29,95;57,81;ARS William;34088;43.556416, 3.720804;ECOLE MATERNELLE;76;Occitanie;FXX
34;Hérault;Mauguio;0010;800;482;60,25;318;39,75;5;0,63;1,57;5;0,63;1,57;308;38,50;96,86;4;LLR;M;CHAZOT;Pierre-Martin;Mauguio-Carnon c'est Vous;41;5,13;13,31;CHAZOT Pierre-Martin;34154;43.587984, 3.976877;VAUGUIERES;76;Occitanie;FXX
34;Hérault;Montpellier;0031;1185;666;56,20;519;43,80;14;1,18;2,70;6;0,51;1,16;499;42,11;96,15;4;LUG;M;DELAFOSSE;Michaël;MONTPELLIER UNIE;199;16,79;39,88;DELAFOSSE Michaël;34172;43.610476, 3.87048;ECOLE ELEMENTAIRE JULES FERRY;76;Occitanie;FXX
34;Hérault;Montpellier;0078;1160;719;61,98;441;38,02;6;0,52;1,36;4;0,34;0,91;431;37,16;97,73;3;LDIV;M;ALTRAD;Mohed;COEUR ECOLOGIE DEMOCRATIE;64;5,52;14,85;ALTRAD Mohed;34172;43.605028, 3.857863;ECOLE ELEMENT.FREDERIC BAZILLE;76;Occitanie;FXX
34;Hérault;Saint-Mathieu-de-Tréviers;0003;988;345;34,92;643;65,08;11;1,11;1,71;15;1,52;2,33;617;62,45;95,96;2;LSOC;M;LOPEZ;Jérôme;SAINT MATHIEU DE TREVIERS, NATURELLEMENT !;334;33,81;54,13;LOPEZ Jérôme;34276;43.768456, 3.864662;LE GALION;76;Occitanie;FXX
34;Hérault;Villeneuve-lès-Maguelone;0005;1149;406;35,34;743;64,66;10;0,87;1,35;14;1,22;1,88;719;62,58;96,77;1;LDVG;F;NEGRET;Véronique;CHOISIR ET AGIR ENSEMBLE POUR VILLENEUVE;380;33,07;52,85;NEGRET Véronique;34337;43.532815, 3.854242;COLLEGE DES SALINS;76;Occitanie;FXX
34;Hérault;Montpellier;0044;1110;721;64,95;389;35,05;9;0,81;2,31;5;0,45;1,29;375;33,78;96,40;4;LUG;M;DELAFOSSE;Michaël;MONTPELLIER UNIE;180;16,22;48,00;DELAFOSSE Michaël;34172;43.597649, 3.891841;ECOLE ELEMENT.CHARLES DICKENS;76;Occitanie;FXX
34;Hérault;Cabrerolles;0001;315;30;9,52;285;90,48;0;0,00;0,00;2;0,63;0,70;283;89,84;99,30;34;NC;M;SALIGARI;Daniel;;0;0,00;0,00;SALIGARI Daniel;34044;;;76;Occitanie;FXX
34;Hérault;Montpellier;0082;1317;895;67,96;422;32,04;11;0,84;2,61;4;0,30;0,95;407;30,90;96,45;3;LDIV;M;ALTRAD;Mohed;COEUR ECOLOGIE DEMOCRATIE;79;6,00;19,41;ALTRAD Mohed;34172;43.610476, 3.87048;ECOLE ELEM.VICTOR SCHOELCHER;76;Occitanie;FXX
34;Hérault;Vélieux;0001;80;13;16,25;67;83,75;0;0,00;0,00;0;0,00;0,00;67;83,75;100,00;7;NC;M;POLINI;Claude;;0;0,00;0,00;POLINI Claude;34326;43.385478, 2.735016;MAIRIE;76;Occitanie;FXX
