Date référence;Numéro commune;Nom commune;RSA ou PPA;Nombre foyers RSA_PPA;Nombre personnes RSA_PPA
2024-12;17464;VERGNE;RSA seul;5;5
2024-12;17465;LA VERGNE;RSA seul;10;10
2024-12;17466;VERINES;RSA seul;10;20
2024-12;17467;VERVANT;RSA seul;5;15
2024-12;17470;VILLARS LES BOIS;RSA seul;0;0
2024-12;17473;VILLEMORIN;RSA seul;0;0
2024-12;17474;VILLENEUVE LA COMTESSE;RSA seul;15;20
2024-12;17476;VILLEXAVIER;RSA seul;5;10
2024-12;17477;VILLIERS COUTURE;RSA seul;5;10
2024-12;17479;VIROLLET;RSA seul;0;0
2024-12;18201;SAINT CAPRAIS;RSA seul;5;5
2024-12;19006;ALLEYRAT;RSA seul;0;0
2024-12;19010;ARGENTAT SUR DORDOGNE;RSA seul;20;40
2024-12;19015;AYEN;RSA seul;5;10
2024-12;19018;BASSIGNAC LE HAUT;RSA seul;0;0
2024-12;19019;BEAULIEU SUR DORDOGNE;RSA seul;15;20
2024-12;19023;BEYNAT;RSA seul;5;10
2024-12;19034;CAMPS SAINT MATHURIN LEOBAZEL;RSA seul;5;10
2024-12;19036;CHAMBERET;RSA seul;10;20
2024-12;19037;CHAMBOULIVE;RSA seul;5;20
2024-12;19038;CHAMEYRAT;RSA seul;5;10
2024-12;19040;CHAMPAGNAC LA PRUNE;RSA seul;0;0
2024-12;19041;CHANAC LES MINES;RSA seul;0;0
2024-12;19042;CHANTEIX;RSA seul;5;10
2024-12;19050;CHAUFFOUR SUR VELL;RSA seul;0;0
2024-12;19055;CHIRAC BELLEVUE;RSA seul;5;15
2024-12;19058;COMBRESSOL;RSA seul;0;0
2024-12;19059;CONCEZE;RSA seul;5;5
2024-12;19061;CORNIL;RSA seul;10;20
2024-12;19063;COSNAC;RSA seul;5;15
2024-12;19070;DARNETS;RSA seul;0;0
2024-12;19071;DAVIGNAC;RSA seul;5;5
2024-12;19074;L'EGLISE AUX BOIS;RSA seul;0;0
2024-12;19078;ESTIVAUX;RSA seul;0;0
2024-12;25093;BRETIGNEY;RSA seul;0;0
2024-12;25098;BUFFARD;RSA seul;0;0
2024-12;25101;BURGILLE;RSA seul;5;5
2024-12;25115;CHAMPAGNEY;RSA seul;0;0
2024-12;25119;CHAMPVANS LES MOULINS;RSA seul;5;5
2024-12;25121;CHAPELLE DES BOIS;RSA seul;0;0
2024-12;25148;LA CHENALOTTE;RSA seul;0;0
2024-12;25152;LA CHEVILLOTTE;RSA seul;0;0
2024-12;25156;PAYS DE CLERVAL;RSA seul;25;45
2024-12;25163;CORCELLE MIESLOT;RSA seul;0;0
2024-12;25173;COUR SAINT MAURICE;RSA seul;0;0
2024-12;25174;COURTEFONTAINE;RSA seul;0;0
2024-12;25182;CUBRY;RSA seul;0;0
2024-12;25184;CUSE ET ADRISANS;RSA seul;5;10
2024-12;25185;CUSSEY SUR LISON;RSA seul;0;0
2024-12;25186;CUSSEY SUR L OGNON;RSA seul;10;15
2024-12;25191;DAMPIERRE SUR LE DOUBS;RSA seul;5;5
2024-12;25194;DANNEMARIE;RSA seul;0;0
2024-12;25199;DESERVILLERS;RSA seul;0;0
2024-12;25200;DEVECEY;RSA seul;10;35
2024-12;25202;DOMPIERRE LES TILLEULS;RSA seul;0;0
2024-12;25216;ECURCEY;RSA seul;0;0
2024-12;25224;ETOUVANS;RSA seul;5;5
2024-12;25227;ETRAY;RSA seul;0;0
2024-12;25295;LES GRANGETTES;RSA seul;0;0
2024-12;25309;HOUTAUD;RSA seul;5;5
2024-12;25336;LIESLE;RSA seul;5;15
2024-12;25350;LOUGRES;RSA seul;0;0
2024-12;25365;MANCENANS;RSA seul;0;0
2024-12;25381;MISEREY SALINES;RSA seul;10;15
2024-12;25388;MONTBELIARD;RSA seul;1155;2545
2024-12;25393;MONTECHEROUX;RSA seul;10;20
2024-12;25394;MONTENOIS;RSA seul;15;30
2024-12;25395;MONTFAUCON;RSA seul;5;10
2024-12;25397;MONTFERRAND LE CHATEAU;RSA seul;25;60
2024-12;25400;MONTGESOYE;RSA seul;5;15
2024-12;25401;MONTIVERNAGE;RSA seul;5;5
2024-12;25403;MONTLEBON;RSA seul;5;10
2024-12;25406;MONTROND LE CHATEAU;RSA seul;5;10
2024-12;25410;MORRE;RSA seul;10;20
2024-12;25416;MYON;RSA seul;0;0
2024-12;25418;NANCRAY;RSA seul;5;5
2024-12;25422;NEUCHATEL URTIERE;RSA seul;0;0
2024-12;25424;LES PREMIERS SAPINS;RSA seul;5;10
2024-12;25430;OLLANS;RSA seul;0;0
2024-12;25433;ORGEANS BLANCHEFONTAINE;RSA seul;0;0
2024-12;25434;ORNANS;RSA seul;50;70
2024-12;25437;OSSE;RSA seul;0;0
2024-12;25438;OSSELLE ROUTELLE;RSA seul;5;10
2024-12;25439;OUGNEY DOUVOT;RSA seul;0;0
2024-12;25448;PELOUSEY;RSA seul;5;10
2024-12;25452;PIERREFONTAINE LES BLAMONT;RSA seul;10;15
2024-12;25467;POUILLEY LES VIGNES;RSA seul;10;10
2024-12;25468;POULIGNEY LUSANS;RSA seul;5;10
2024-12;25473;PUGEY;RSA seul;0;0
2024-12;25475;QUINGEY;RSA seul;15;45
2024-12;25477;RANCENAY;RSA seul;5;5
2024-12;25493;LA RIVIERE DRUGEON;RSA seul;0;0
2024-12;25505;ROUGEMONT;RSA seul;15;30
2024-12;25532;SAONE;RSA seul;20;35
2024-12;25537;SCEY MAISIERES;RSA seul;5;10
2024-12;25540;SEMONDANS;RSA seul;0;0
2024-12;25548;SOLEMONT;RSA seul;0;0
2024-12;25550;LA SOMMETTE;RSA seul;0;0
2024-12;25551;SOULCE CERNAY;RSA seul;0;0
2024-12;25553;SOYE;RSA seul;5;5
2024-12;25554;SURMONT;RSA seul;0;0
2024-12;25558;TARCENAY FOUCHERANS;RSA seul;5;5
2024-12;25575;VAIRE;RSA seul;5;5
2024-12;25591;VAUFREY;RSA seul;5;5
2024-12;25594;VELESMES ESSARTS;RSA seul;0;0
2024-12;25602;VERGRANNE;RSA seul;0;0
2024-12;26207;MONTMIRAL;RSA seul;10;10
2024-12;26208;MONTOISON;RSA seul;10;20
2024-12;26210;VALHERBASSE;RSA seul;10;15
2024-12;26211;MONTSEGUR SUR LAUZON;RSA seul;10;10
2024-12;26214;MORNANS;RSA seul;0;0
2024-12;26215;LA MOTTE CHALANCON;RSA seul;5;5
2024-12;26217;LA MOTTE FANJAS;RSA seul;0;0
2024-12;26226;LE PEGUE;RSA seul;0;0
2024-12;26228;PENNES LE SEC;RSA seul;5;5
2024-12;26232;PEYRUS;RSA seul;0;0
2024-12;26234;PIEGROS LA CLASTRE;RSA seul;10;15
2024-12;26236;PIERRELONGUE;RSA seul;5;5
2024-12;26241;LE POET CELARD;RSA seul;0;0
2024-12;26245;POMMEROL;RSA seul;0;0
2024-12;26249;PONT DE BARRET;RSA seul;5;10
2024-12;26250;PONT DE L ISERE;RSA seul;25;50
2024-12;26252;PORTES LES VALENCE;RSA seul;170;360
2024-12;26256;PROPIAC;RSA seul;0;0
2024-12;26257;PUYGIRON;RSA seul;0;0
2024-12;26258;PUY SAINT MARTIN;RSA seul;15;20
2024-12;26259;RATIERES;RSA seul;5;10
2024-12;26261;REAUVILLE;RSA seul;10;10
2024-12;26262;RECOUBEAU JANSAC;RSA seul;5;5
2024-12;26277;LA ROCHE SUR GRANE;RSA seul;5;5
2024-12;26281;ROMANS SUR ISERE;RSA seul;740;1440
2024-12;26289;SAILLANS;RSA seul;15;25
2024-12;26290;SAINT AGNAN EN VERCORS;RSA seul;5;5
2024-12;26291;SAINT ANDEOL;RSA seul;0;0
2024-12;26293;SAINT AVIT;RSA seul;5;5
2024-12;26299;SAINTE CROIX;RSA seul;0;0
2024-12;26300;SAINT DIZIER EN DIOIS;RSA seul;0;0
2024-12;26303;SAINTE EUPHEMIE SUR OUVEZE;RSA seul;0;0
2024-12;26304;SAINT FERREOL TRENTE PAS;RSA seul;0;0
2024-12;26306;SAINTE JALLE;RSA seul;5;5
2024-12;26308;SAINT JULIEN EN QUINT;RSA seul;5;5
2024-12;26310;SAINT LAURENT D ONAY;RSA seul;5;5
2024-12;26311;SAINT LAURENT EN ROYANS;RSA seul;10;10
2024-12;26312;SAINT MARCEL LES SAUZET;RSA seul;5;10
2024-12;26320;SAINT NAZAIRE EN ROYANS;RSA seul;10;15
2024-12;26322;SAINT PANTALEON LES VIGNES;RSA seul;0;0
2024-12;26323;SAINT PAUL LES ROMANS;RSA seul;5;10
2024-12;26327;SAINT ROMAN;RSA seul;5;10
2024-12;26329;SAINT SAUVEUR GOUVERNET;RSA seul;0;0
2024-12;26332;SAINT UZE;RSA seul;20;40
2024-12;26335;SALLES SOUS BOIS;RSA seul;0;0
2024-12;26336;SAOU;RSA seul;0;0
2024-12;26341;SERVES SUR RHONE;RSA seul;5;10
2024-12;26358;UPIE;RSA seul;10;15
2024-12;26364;VASSIEUX EN VERCORS;RSA seul;0;0
2024-12;26373;VESC;RSA seul;0;0
2024-12;26376;VILLEPERDRIX;RSA seul;5;5
2024-12;26382;SAINT VINCENT LA COMMANDERIE;RSA seul;5;10
2024-12;27002;ACON;RSA seul;5;5
2024-12;27004;AIGLEVILLE;RSA seul;0;0
2024-12;27009;AMBENAY;RSA seul;10;30
2024-12;27012;AMFREVILLE LES CHAMPS;RSA seul;0;0
2024-12;27014;AMFREVILLE SUR ITON;RSA seul;5;5
2024-12;27016;LES ANDELYS;RSA seul;170;375
2024-12;27019;ARMENTIERES SUR AVRE;RSA seul;5;5
2024-12;27021;ASNIERES;RSA seul;5;5
2024-12;27022;LE VAL D HAZEY;RSA seul;70;130
2024-12;27025;AUTHEUIL AUTHOUILLET;RSA seul;5;5
2024-12;27026;AUTHEVERNES;RSA seul;0;0
2024-12;27027;LES AUTHIEUX;RSA seul;0;0
2024-12;27032;CHAMBOIS;RSA seul;5;15
2024-12;27036;BALINES;RSA seul;5;5
2024-12;27279;GASNY;RSA seul;45;100
2024-12;27284;GISORS;RSA seul;305;645
2024-12;27299;GRAVIGNY;RSA seul;65;140
2024-12;27300;GROSLEY SUR RISLE;RSA seul;5;10
2024-12;27304;GUERNY;RSA seul;5;5
2024-12;27311;HARCOURT;RSA seul;10;20
2024-12;27316;HAUVILLE;RSA seul;5;5
2024-12;27322;LA HAYE MALHERBE;RSA seul;10;15
2024-12;27323;LA HAYE SAINT SYLVESTRE;RSA seul;0;0
2024-12;27324;HEBECOURT;RSA seul;10;15
2024-12;27325;HECMANVILLE;RSA seul;0;0
2024-12;27331;HEUBECOURT HARICOURT;RSA seul;5;5
2024-12;27339;HONDOUVILLE;RSA seul;5;10
2024-12;27341;L'HOSMES;RSA seul;0;0
2024-12;27347;HUEST;RSA seul;5;5
2024-12;27351;INCARVILLE;RSA seul;10;15
2024-12;27355;IVRY LA BATAILLE;RSA seul;40;65
2024-12;27360;JUMELLES;RSA seul;0;0
2024-12;27361;LA LANDE SAINT LEGER;RSA seul;0;0
2024-12;27377;LYONS LA FORET;RSA seul;5;10
2024-12;27379;MAINNEVILLE;RSA seul;5;20
2024-12;27381;MALOUY;RSA seul;0;0
2024-12;27384;MANNEVILLE LA RAOULT;RSA seul;0;0
2024-12;27386;LE MANOIR;RSA seul;25;55
2024-12;27389;MARBEUF;RSA seul;5;15
2024-12;27391;MARCILLY SUR EURE;RSA seul;15;20
2024-12;27394;MARTOT;RSA seul;5;10
2024-12;27403;LE MESNIL JOURDAIN;RSA seul;0;0
2024-12;28074;LA CHAPELLE D AUNAINVILLE;RSA seul;0;0
2024-12;28095;CHAUFFOURS;RSA seul;0;0
2024-12;28105;COMBRES;RSA seul;10;15
2024-12;28110;LE COUDRAY;RSA seul;25;45
2024-12;28111;COUDRAY AU PERCHE;RSA seul;5;5
2024-12;28116;COURVILLE SUR EURE;RSA seul;30;75
2024-12;28137;ECROSNES;RSA seul;5;5
2024-12;28143;ESCORPAIN;RSA seul;0;0
2024-12;28147;FAVIERES;RSA seul;0;0
2024-12;28158;FONTENAY SUR EURE;RSA seul;0;0
