Titre;Description Longue;Commune;code_postal;INSEE;Dispotifs Covid;Statut;Labels;Catégorie;geopoint;adresse
DOMAINE DE ROQUEMALE;"En 2001, Valérie et Dominique Ibanez ont créé de toute pièce le Domaine de Roquemale, composé de 12 hectares de vignes en AOC Languedoc d'un seul tenant, situé sur la commune de Villeveyrac. Roquemale signifie en patois ""mauvaise roche"" ce qui est une aubaine pour la vigne qui produit peu de raisins avec de belles matûrités. Notre terroir est une alchimie entre soleil de plomb, des nuits fraîches, des sols argilo-calcaires et un environnement de garrigues qui distille lentement ses parfums... Nous produisons un blanc, un rosé, cinq rouges et une vendange tardive. Tous nos vins sont issus de l'Agriculture Biologique Certifiée Bio Ecocert depuis 2008. La cave de vinification ainsi que le caveau de dégustation sont situés en plein centre du village et nous vous y accueillerons avec plaisir !";VILLEVEYRAC;34560;34341;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.5007162, 3.6041908;25, Route de Clermont
ZEZETTE, LA BELLE EPOQUE;"La Belle Epoque est une biscuiterie artisanale créée en 1997 dont le but est de faire connaître aux gourmands, les petits gâteaux fabriqués sur place.
Biscuits, dont la fabrication reste fidèle à la tradition, sans colorants ni conservateurs. La situation géographique de La Belle Époque lui permet de bénéficier de produits nobles régionaux (beurre frais, œufs entiers, farine de blé...), qui concourent à la qualité constante de ses produits.";FRONTIGNAN;34110;34108;;Producteur;;Artisanat gourmand;43.4634793, 3.76883145;2/4 rue des Sauniers
LES COTEAUX DE BERLOU;Le vignoble de Berlou, classé AOC Saint-Chinian, est niché sur les derniers contreforts des Cévennes, au coeur du Parc régional du haut-Languedoc. La cave est toute entière tournée vers la recherche de la qualité et a toujours été une pionnière dans ce domaine. La cueillette manuelle, la sélection au terroir, la limitation des apports et la vendange en vert sont appliquées depuis déjà de nombreuses années. C'est dans une ambiance chaleureuse que les vignerons vous accueillent, la dégustation est gratuite et commentée. Apéritifs et balades vigneronnes organisés toute l'année.;BERLOU;34360;34030;;Coopérative;Vignobles et Découvertes;Vente de vins au caveau;43.4886024, 2.95883008;1 avenue des mimosas
CHÂTEAU DE LASCAUX;"Le Château de Lascaux est un domaine viticole familial qui se situe au cœur du petit village languedocien de Vacquières, à tout juste 35 km de Montpellier et 40 km de Nîmes.

Au cœur d’un écrin de garrigue, entre le Pic Saint-Loup et les premiers contreforts des Cévennes, notre vignoble est éclaté en petites parcelles et pousse sur des collines de calcaire. 

En osmose avec le milieu naturel riche qui nous entoure, nos vins sont produits en agriculture biologique et en biodynamie. 14 et 15e génération de Cavalier, nous vous accueillons au caveau pour vous faire découvrir notre histoire, notre travail et nos vins.

Une expérience de dégustation unique, dans un prieuré du XIIème siècle !

Nous proposons actuellement trois activités : 
- Dégustation commentée de nos vins 
- Visite complète guidée du domaine
- Atelier Vins & Confiseries.";VACQUIERES;34270;34318;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.8450257, 3.9451698;Route du Brestalou
DOMAINE D'AUPILHAC;"Le domaine d'Aupilhac se situe à Montpeyroux. 
La cave qui se trouve au coeur du village a été crée en 1989.
Le domaine conduit 30 hectares de vignes en agriculture biologique.
Une partie des vignes se répartit en terrasses exposée au sud sur le lieu-dit Aupilhac. Le Mourvèdre et le Carignan en sont les cépages principaux.
L'autre terroir se trouve sur le site des cocalières à 350 mètres d'altitude exposé au nord. La Syrah y est dominante complétée par le Mourvèdre et le Grenache.";MONTPEYROUX;34150;34173;;Cave particulière;Ecocert;Vente de vins au caveau;43.6970372, 3.5037891;32 rue du Plô
CHATEAU DE PERDIGUIER;Le Château de Perdiguier, édifié au XIVe siècle, surplombe un vignoble séculaire et invite à la découverte de son histoire et de ses trésors. Le Domaine propose des dégustations au caveau, accompagné d'ateliers animés par un maître sommelier pour une immersion totale dans l'art du vin. Profitez aussi de la visite des jardins et de la cour du château. Le caveau est disponible pour des repas d'affaires, séminaires ou réceptions. En saison, des expositions et concerts viennent enrichir l'expérience.;MARAUSSAN;34370;34148;Mesures en vigueur suivant mises à jour.;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.3668775, 3.1704149;domaine de perdiguier
DOMAINE CLAVEL;"Le domaine Clavel est une propriété familiale située à Assas, a quelques kilomètres au nord de Montpellier.
Le Mas, construction monumentale datant du 16eme siècle, est un lieu de découverte unique.
Au cours du temps, le domaine s’est distingué par la qualité de ses vins, notamment en AOP Pic Saint Loup.
En famille, nous travaillons un vignoble de 25ha en agriculture biologique et cultivons quelques centaines d’oliviers et des chênes truffiers autour de notre Mas.
Un maraîcher produit également des légumes et une apicultrice profite de cette biodiversité pour installer ses ruches au printemps. Cet écosystème participe à la richesse du lieu.

C’est un véritable plaisir pour nos visiteurs d’aborder la dégustation de nos vins par la découverte de ces paysages esthétiques et nourriciers.";ASSAS;34820;34014;"Achat de vin au caveau de 14h à 18h du lundi au vendredi, le samedi sur rendez-vous.
Retrait gratuit au caveau.
Livraison gratuite sur le secteur de Montpellier nord - Jacou - Vendargues- Assas 

Sur place, gel hydroalcoolique à disposition.";Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.7110493, 3.9037638;Route de Sainte-Croix
CHÂTEAU DE RAISSAC;"Aux portes de Béziers, perchée sur la colline du ""Puech Cocut"" dominant l'arrière pays, la cave du Château de Raissac est une bâtisse languedocienne datant du XVIIe dans la famille depuis 1828. Dans le chai à barriques creusé dans la roche calcaire, vous dégusterez des cuvées issues de 11 différents cépages et découvrirez également toutes une sélection de produits régionaux. Chambres d'hôtes, salles de réception et Musée de la Céramique au Château. Gamme de vins : IGP Pays d'Oc, AOP Languedoc (11 variétés de cépages).";BEZIERS;34500;34032;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.3642669, 3.18668466;Route de Murviel
DOMAINE DES CONQUÊTES;Le Domaine des Conquêtes est une propriété familiale gérée par une fratrie de vignerons. Soucieux de préserver leur environnement, le Domaine s'engage pour la conservation et le développement de la biodiversité grâce à la Viti foresterie, l'enherbement et sa conversion en agriculture biologique. Passionnés par leur travail, la famille vous propose différentes activités écotouristiques, afin de partager avec vous leurs savoir faire et leur amour du terroir. Le Domaine est ouvert toute l'année. Pour des moments de convivialité et d'échange en duo ou en groupe, le Domaine vous propose des dégustations autour de produits du terroir aux heures d'ouverture ou bien le temps d'un déjeuner. Un atelier vins et chocolats pour surprendre vos sens. Aux beaux jours vous pourrez profiter du Pique Nique vigneron. Nouveauté pour le printemps 2024: La chasse au trésor des Conquêtes pour découvrir le monde du vin au travers de défis et d'énigmes pour toute la famille.;ANIANE;34150;34010;Le Domaine des Conquêtes vous accueille du Mardi au Samedi de 9h à 12h et de 14h à 18h dans le respect des règles sanitaires: solution hydroalcoolique à disposition, distanciation sociale, pas plus de 4 personnes dans le caveau, paiement sans contact et bien sûr port du masque obligatoire . Nous avons également mis en place un Drive aux mêmes horaires que le Caveau avec la possibilité de régler ses achats par téléphone par CB. Prise de commande pour le Drive par téléphone au: 09 71 44 92 48 ou par mail: domainededconquetes.vin@outlook.fr . Site de vente en ligne: www.domainedesconquetes.fr avec livraison OFFERTE partout en France dès 18 bouteilles achetées ou 131€ d’achat de vin.;Producteur;Vignobles et Découvertes;Vente de vins au caveau;43.67878, 3.58822;220 chemin des Conquêtes
DOMAINE DE LA RESERVE D'O;"La culture de la Vigne à La Réserve d’O, est dictée par les techniques de l’agriculture biodynamique. Nous avons choisis de produire du vin dans un contexte global, nous souhaitons prendre en compte non seulement le sol et la plante mais aussi tout le système écologique du plus petit (microbiologie) au plus grand (système planétaire).
Les pratiques agronomiques habituelles (travail du sol, taille, ébourgeonnage, etc.) sont indispensables, ensuite nous prenons en compte des paramètres peu utilisés :
Les rythmes solaires, les préparations à base de bouse de vache et de plantes, réduction des quantités de boullie bordelaise...
Notre engagement auprès de cette agriculture est dictée par notre volonté de produire des vins de grande qualité en respectant la nature et les êtres qui y vivent.";ARBORAS;34150;34011;;Cave particulière;Ecocert;Vente de vin à la propriété (pas de caveau);43.7154422, 3.4241817;Rue du Château
