Date référence;Numéro commune;RSA ou PPA;Nom commune;Nombre foyers RSA_PPA;Nombre personnes RSA_PPA
2020-12;49012;RSA seul;;0;0
2020-12;49036;RSA seul;BOUILLE MENARD;10;15
2020-12;49160;RSA seul;INGRANDES LE FRESNE SUR LOIRE;25;45
2020-12;48165;RSA seul;SAINT LAURENT DE MURET;5;5
2020-12;48179;RSA seul;;0;0
2020-12;49011;RSA seul;;0;0
2020-12;49067;RSA seul;CHENILLE CHAMPTEUSSE;5;5
2020-12;49069;RSA seul;OREE D ANJOU;90;170
2020-12;49099;RSA seul;CHOLET;1030;2130
2020-12;49109;RSA seul;CORON;5;15
2020-12;49114;RSA seul;COURLEON;0;0
2020-12;49167;RSA seul;LES GARENNES SUR LOIRE;20;25
2020-12;49192;RSA seul;MAULEVRIER;15;25
2020-12;49195;RSA seul;MAZIERES EN MAUGES;5;10
2020-12;48181;RSA seul;SAINT SATURNIN;0;0
2020-12;48187;RSA seul;LES SALCES;0;0
2020-12;49007;RSA seul;ANGERS;5110;10685
2020-12;49010;RSA seul;;0;0
2020-12;49021;RSA seul;BEAUFORT EN ANJOU;60;110
2020-12;49023;RSA seul;BEAUPREAU EN MAUGES;145;330
2020-12;49026;RSA seul;BECON LES GRANITS;15;25
2020-12;49056;RSA seul;CARBAY;5;5
2020-12;49057;RSA seul;CERNUSSON;0;0
2020-12;49058;RSA seul;LES CERQUEUX;5;10
2020-12;49064;RSA seul;CHAMBELLAY;0;0
2020-12;49100;RSA seul;;0;0
2020-12;49127;RSA seul;DURTAL;50;105
2020-12;49163;RSA seul;JARZE VILLAGES;20;45
2020-12;49170;RSA seul;JUVARDEIL;5;15
2020-12;49205;RSA seul;MIRE;15;30
2020-12;49209;RSA seul;MONTIGNE LES RAIRIES;0;0
2020-12;49216;RSA seul;MONTREUIL SUR LOIR;5;5
2020-12;55407;RSA seul;PONT SUR MEUSE;5;5
2020-12;55409;RSA seul;;0;0
2020-12;55430;RSA seul;;0;0
2020-12;55447;RSA seul;RUPT AUX NONAINS;10;15
2020-12;55459;RSA seul;SAINT JOIRE;5;5
2020-12;55463;RSA seul;SAINT MIHIEL;125;215
2020-12;55474;RSA seul;SAUVIGNY;5;5
2020-12;55479;RSA seul;;0;0
2020-12;55505;RSA seul;THIERVILLE SUR MEUSE;40;65
2020-12;55514;RSA seul;TREMONT SUR SAULX;5;20
2020-12;55516;RSA seul;TREVERAY;5;10
2020-12;55531;RSA seul;VASSINCOURT;5;5
2020-12;55575;RSA seul;VOUTHON HAUT;0;0
2020-12;55581;RSA seul;;0;0
2020-12;55586;RSA seul;XIVRAY ET MARVOISIN;0;0
2020-12;56009;RSA seul;BANGOR;10;10
2020-12;56022;RSA seul;BRANDIVY;5;5
2020-12;56025;RSA seul;BRIGNAC;5;5
2020-12;56033;RSA seul;CARENTOIR;50;75
2020-12;56036;RSA seul;CAUDAN;85;165
2020-12;56050;RSA seul;LA CROIX HELLEAN;5;15
2020-12;56052;RSA seul;DAMGAN;20;25
2020-12;56057;RSA seul;LE FAOUET;40;70
2020-12;56058;RSA seul;FEREL;25;45
2020-12;56060;RSA seul;LES FOUGERETS;15;25
2020-12;56074;RSA seul;GUENIN;20;35
2020-12;56106;RSA seul;LARMOR BADEN;5;5
2020-12;56111;RSA seul;LIMERZEL;10;15
2020-12;56115;RSA seul;LOCMARIA GRAND CHAMP;5;10
2020-12;56117;RSA seul;LOCMINE;65;120
2020-12;56120;RSA seul;LOCQUELTAS;5;15
2020-12;56123;RSA seul;MALANSAC;35;50
2020-12;56127;RSA seul;MAURON;45;85
2020-12;56162;RSA seul;PLOEMEUR;220;335
2020-12;56170;RSA seul;PLOURAY;15;25
2020-12;55334;RSA seul;MENIL LA HORGNE;5;5
2020-12;55335;RSA seul;MENIL SUR SAULX;5;5
2020-12;55338;RSA seul;MILLY SUR BRADON;10;20
2020-12;55360;RSA seul;MOUILLY;0;0
2020-12;55370;RSA seul;NAIX AUX FORGES;0;0
2020-12;55382;RSA seul;NEUVILLE SUR ORNAIN;0;0
2020-12;55384;RSA seul;NICEY SUR AIRE;0;0
2020-12;55387;RSA seul;NOUILLONPONT;5;5
2020-12;55396;RSA seul;OURCHES SUR MEUSE;0;0
2020-12;55401;RSA seul;LES PAROCHES;5;10
2020-12;55410;RSA seul;QUINCY LANDZECOURT;0;0
2020-12;55411;RSA seul;RAMBLUZIN ET BENOITE VAUX;0;0
2020-12;55412;RSA seul;RAMBUCOURT;0;0
2020-12;55421;RSA seul;;0;0
2020-12;55433;RSA seul;RIGNY LA SALLE;0;0
2020-12;55453;RSA seul;;0;0
2020-12;55457;RSA seul;SAINT HILAIRE EN WOEVRE;0;0
2020-12;55467;RSA seul;SAMPIGNY;10;15
2020-12;55468;RSA seul;;0;0
2020-12;55500;RSA seul;SPINCOURT;10;20
2020-12;55509;RSA seul;THONNE LE THIL;5;5
2020-12;55362;RSA seul;;0;0
2020-12;55371;RSA seul;;0;0
2020-12;55374;RSA seul;NANT LE PETIT;0;0
2020-12;55379;RSA seul;LE NEUFOUR;0;0
2020-12;55381;RSA seul;NEUVILLE LES VAUCOULEURS;0;0
2020-12;55395;RSA seul;;0;0
2020-12;55397;RSA seul;PAGNY LA BLANCHE COTE;5;5
2020-12;55460;RSA seul;;0;0
2020-12;55470;RSA seul;SAUDRUPT;0;0
2020-12;55488;RSA seul;;0;0
2020-12;55493;RSA seul;SOMMEILLES;0;0
2020-12;55525;RSA seul;VADELAINCOURT;0;0
2020-12;55540;RSA seul;;0;0
2020-12;55554;RSA seul;VILLECLOYE;0;0
2020-12;55557;RSA seul;VILLE EN WOEVRE;0;0
2020-12;55565;RSA seul;VILLERS SOUS PAREID;0;0
2020-12;55569;RSA seul;VILLOTTE DEVANT LOUPPY;0;0
2020-12;55571;RSA seul;VILOSNES HARAUMONT;10;30
2020-12;55579;RSA seul;;0;0
2020-12;55580;RSA seul;WAVRILLE;0;0
