dep_code;annee;nb_crimes_delits
01;2014;19009
02;2014;12776
03;2014;5045
04;2014;5564
05;2014;3658
06;2014;15672
07;2014;8787
08;2014;6057
09;2014;4666
10;2014;7543
11;2014;9730
12;2014;4224
13;2014;26450
14;2014;10140
15;2014;2116
16;2014;7424
17;2014;16824
18;2014;6008
19;2014;4091
21;2014;9074
22;2014;14261
23;2014;2163
24;2014;8628
25;2014;10487
26;2014;13652
27;2014;13487
28;2014;9015
29;2014;17291
2A;2014;3241
2B;2014;4477
30;2014;20283
31;2014;33161
32;2014;4906
33;2014;32601
34;2014;31139
35;2014;19148
36;2014;4774
37;2014;11220
38;2014;39518
39;2014;5823
40;2014;11144
41;2014;7151
42;2014;9352
43;2014;4793
44;2014;30151
45;2014;13758
46;2014;4481
47;2014;8179
48;2014;1515
49;2014;13608
50;2014;7547
51;2014;9563
52;2014;4603
53;2014;5739
54;2014;10108
55;2014;4651
56;2014;16641
57;2014;16451
58;2014;5610
59;2014;21761
60;2014;28866
61;2014;6050
62;2014;15191
63;2014;10812
64;2014;7439
65;2014;4201
66;2014;15817
67;2014;18044
68;2014;15366
69;2014;26173
70;2014;6739
71;2014;10083
72;2014;11822
73;2014;13144
74;2014;23833
76;2014;12143
77;2014;16593
78;2014;9894
79;2014;7913
80;2014;11967
81;2014;6647
82;2014;6189
83;2014;25203
84;2014;15344
85;2014;17240
86;2014;6844
87;2014;3977
88;2014;7911
89;2014;13222
91;2014;16046
95;2014;15022
971;2014;14831
972;2014;10518
973;2014;10434
974;2014;14904
978;2014;3421
986;2014;133
987;2014;9720
988;2014;7829
