code_departement,annee,taux_pour_mille
01,2019,2.17
01,2024,2.36
02,2019,2.51
02,2024,2.85
03,2019,2.1
03,2024,2.48
04,2019,2.66
04,2024,2.95
05,2019,2.25
05,2024,2.56
06,2019,3.38
06,2024,3.35
07,2019,1.87
07,2024,2.06
08,2019,2.27
08,2024,2.48
09,2019,2.04
09,2024,2.4
10,2019,2.45
10,2024,2.56
11,2019,2.55
11,2024,2.92
12,2019,1.46
12,2024,1.8
13,2019,4.07
13,2024,5.05
14,2019,2.04
14,2024,2.27
15,2019,1.37
15,2024,1.51
16,2019,2.18
16,2024,2.52
17,2019,2.58
17,2024,2.61
18,2019,2.16
18,2024,2.38
19,2019,1.82
19,2024,1.97
21,2019,2.22
21,2024,2.56
22,2019,1.74
22,2024,1.95
23,2019,1.53
23,2024,1.85
24,2019,1.71
24,2024,1.84
25,2019,2.14
25,2024,2.26
26,2019,2.7
26,2024,2.92
27,2019,2.04
27,2024,2.36
28,2019,2.0
28,2024,2.15
29,2019,2.04
29,2024,2.08
2A,2019,1.97
2A,2024,1.83
2B,2019,1.83
2B,2024,1.79
30,2019,2.81
30,2024,2.84
31,2019,3.48
31,2024,3.31
32,2019,1.63
32,2024,2.04
33,2019,3.33
33,2024,3.31
34,2019,3.59
34,2024,3.67
35,2019,2.06
35,2024,2.5
36,2019,1.86
36,2024,2.37
37,2019,2.38
37,2024,2.73
38,2019,3.19
38,2024,3.48
39,2019,1.93
39,2024,2.02
40,2019,1.95
40,2024,2.36
41,2019,1.99
41,2024,2.35
42,2019,2.51
42,2024,3.01
43,2019,1.73
43,2024,1.85
44,2019,3.3
44,2024,2.89
45,2019,2.22
45,2024,2.39
46,2019,1.81
46,2024,1.87
47,2019,2.16
47,2024,2.45
48,2019,1.51
48,2024,1.5
49,2019,1.97
49,2024,2.13
50,2019,1.49
50,2024,1.78
51,2019,2.69
51,2024,2.99
52,2019,2.36
52,2024,2.23
53,2019,1.72
53,2024,2.11
54,2019,2.23
54,2024,2.54
55,2019,2.11
55,2024,2.47
56,2019,1.85
56,2024,2.16
57,2019,2.04
57,2024,2.15
58,2019,2.05
58,2024,2.29
59,2019,3.41
59,2024,3.38
60,2019,2.45
60,2024,2.7
61,2019,1.74
61,2024,2.32
62,2019,2.48
62,2024,2.78
63,2019,2.28
63,2024,2.52
64,2019,1.98
64,2024,2.21
65,2019,2.15
65,2024,2.31
66,2019,3.18
66,2024,3.26
67,2019,2.02
67,2024,2.27
68,2019,2.0
68,2024,2.21
69,2019,4.04
69,2024,4.24
70,2019,1.82
70,2024,2.06
71,2019,1.93
71,2024,2.06
72,2019,2.49
72,2024,2.5
73,2019,2.3
73,2024,2.53
74,2019,2.46
74,2024,2.69
75,2019,8.32
75,2024,7.16
76,2019,2.64
76,2024,2.95
77,2019,2.85
77,2024,3.08
78,2019,2.65
78,2024,2.81
79,2019,1.84
79,2024,2.03
80,2019,2.6
80,2024,2.87
81,2019,2.05
81,2024,2.17
82,2019,1.94
82,2024,2.14
83,2019,3.02
83,2024,3.19
84,2019,2.84
84,2024,3.47
85,2019,1.74
85,2024,1.93
86,2019,2.14
86,2024,2.3
87,2019,1.84
87,2024,2.27
88,2019,2.08
88,2024,2.23
89,2019,2.38
89,2024,2.64
90,2019,2.23
90,2024,2.25
91,2019,2.78
91,2024,3.08
92,2019,3.07
92,2024,3.21
93,2019,4.69
93,2024,4.52
94,2019,3.4
94,2024,3.46
95,2019,3.48
95,2024,3.5
971,2019,2.88
971,2024,3.5
972,2019,2.57
972,2024,2.74
973,2019,3.23
973,2024,3.49
974,2019,1.88
974,2024,2.16
976,2019,1.98
976,2024,2.5
