dep_code;annee;nombre_demandeurs_emploi
01;2014;42810
02;2014;56345
03;2014;28875
04;2014;15630
05;2014;12820
06;2014;100995
07;2014;29370
08;2014;25345
09;2014;14230
10;2014;30010
11;2014;37600
12;2014;17600
13;2014;288255
14;2014;59870
15;2014;8525
16;2014;30565
17;2014;58455
18;2014;25175
19;2014;17895
21;2014;42340
22;2014;48630
23;2014;8805
24;2014;34175
25;2014;42405
26;2014;49400
27;2014;53490
28;2014;35475
29;2014;74350
2A;2014;11650
2B;2014;13265
30;2014;77570
31;2014;131645
32;2014;13495
33;2014;145915
34;2014;123710
35;2014;81130
36;2014;17550
37;2014;51100
38;2014;96415
39;2014;18035
40;2014;34530
41;2014;26610
42;2014;63235
43;2014;17135
44;2014;119805
45;2014;60240
46;2014;13040
47;2014;28660
48;2014;4230
49;2014;73670
50;2014;36375
51;2014;48555
52;2014;13945
53;2014;20580
54;2014;58235
55;2014;14640
56;2014;62685
57;2014;87640
58;2014;14980
59;2014;260420
60;2014;69835
61;2014;21880
62;2014;141205
63;2014;52470
64;2014;52590
65;2014;21675
66;2014;52255
67;2014;88910
68;2014;62220
69;2014;197925
70;2014;18250
71;2014;44485
72;2014;50575
73;2014;32860
74;2014;57700
75;2014;405090
76;2014;117835
77;2014;98080
78;2014;92875
79;2014;28075
80;2014;54390
81;2014;33165
82;2014;24910
83;2014;95125
84;2014;60385
85;2014;55195
86;2014;33260
87;2014;29315
88;2014;33160
89;2014;26810
90;2014;12515
91;2014;86700
92;2014;115740
93;2014;166370
94;2014;106920
95;2014;102865
971;2014;65530
972;2014;53590
973;2014;25490
974;2014;159520
976;2014;12295
Total;2014;11392415
