annee,code_departement,nombre_demandeurs_emploi
2019,01,44105
2024,01,44595
2019,02,54080
2024,02,48390
2019,03,28190
2024,03,26460
2019,04,16350
2024,04,15465
2019,05,13855
2024,05,12795
2019,06,102395
2024,06,92935
2019,07,31100
2024,07,29385
2019,08,24510
2024,08,23405
2019,09,14590
2024,09,13935
2019,10,29465
2024,10,26465
2019,11,37345
2024,11,36460
2019,12,17945
2024,12,17660
2019,13,299310
2024,13,287090
2019,14,57075
2024,14,53060
2019,15,7755
2024,15,7275
2019,16,30250
2024,16,29185
2019,17,58915
2024,17,53990
2019,18,24560
2024,18,21070
2019,19,16940
2024,19,15770
2019,21,39810
2024,21,37490
2019,22,47645
2024,22,44530
2019,23,8195
2024,23,7730
2019,24,33490
2024,24,31020
2019,25,42705
2024,25,41235
2019,26,50705
2024,26,48360
2019,27,50715
2024,27,44000
2019,28,35190
2024,28,32200
2019,29,72445
2024,29,68755
2019,2A,11565
2024,2A,10230
2019,2B,12200
2024,2B,11525
2019,30,79215
2024,30,74150
2019,31,128360
2024,31,133515
2019,32,12720
2024,32,12255
2019,33,148030
2024,33,142570
2019,34,131100
2024,34,129050
2019,35,82655
2024,35,83900
2019,36,16895
2024,36,14470
2019,37,52160
2024,37,48430
2019,38,95030
2024,38,89215
2019,39,17390
2024,39,16690
2019,40,36845
2024,40,35635
2019,41,25425
2024,41,23170
2019,42,63330
2024,42,60900
2019,43,16600
2024,43,15610
2019,44,119650
2024,44,108905
2019,45,58635
2024,45,55425
2019,46,14215
2024,46,13595
2019,47,29450
2024,47,27330
2019,48,4490
2024,48,4215
2019,49,72850
2024,49,65320
2019,50,33280
2024,50,29835
2019,51,46525
2024,51,44140
2019,52,13055
2024,52,11200
2019,53,20210
2024,53,18885
2019,54,55320
2024,54,48665
2019,55,13555
2024,55,12600
2019,56,60330
2024,56,55310
2019,57,82760
2024,57,74280
2019,58,13230
2024,58,12160
2019,59,260945
2024,59,240755
2019,60,67555
2024,60,63735
2019,61,20795
2024,61,18480
2019,62,134160
2024,62,116520
2019,63,52150
2024,63,49460
2019,64,53835
2024,64,51815
2019,65,21035
2024,65,18975
2019,66,56815
2024,66,56580
2019,67,86840
2024,67,82265
2019,68,61095
2024,68,56585
2019,69,204770
2024,69,198450
2019,70,17440
2024,70,16020
2019,71,43990
2024,71,40450
2019,72,49850
2024,72,44130
2019,73,32690
2024,73,31885
2019,74,61015
2024,74,62790
2019,75,399640
2024,75,393990
2019,76,116385
2024,76,102325
2019,77,102020
2024,77,110360
2019,78,96465
2024,78,104415
2019,79,26435
2024,79,23845
2019,80,53460
2024,80,46680
2019,81,32745
2024,81,31735
2019,82,25620
2024,82,25570
2019,83,94880
2024,83,87895
2019,84,62270
2024,84,61150
2019,85,54115
2024,85,49970
2019,86,31775
2024,86,30770
2019,87,27335
2024,87,25695
2019,88,30685
2024,88,27370
2019,89,25610
2024,89,24745
2019,90,12250
2024,90,11930
2019,91,89650
2024,91,92935
2019,92,116585
2024,92,121145
2019,93,169335
2024,93,174330
2019,94,107015
2024,94,111835
2019,95,101700
2024,95,103835
2019,971,61200
2024,971,54665
2019,972,50095
2024,972,42290
2019,973,24225
2024,973,28065
2019,974,162575
2024,974,154235
2019,976,14625
2024,976,18470
2019,Total,11345115
2024,Total,10833150
