dep_code;annee;naissances
01;2014;7354
02;2014;6466
03;2014;3152
04;2014;1538
05;2014;1383
06;2014;12170
07;2014;3254
08;2014;2966
09;2014;1364
10;2014;3377
11;2014;3516
12;2014;2555
13;2014;26384
14;2014;7459
15;2014;1213
16;2014;3378
17;2014;5846
18;2014;3097
19;2014;2094
21;2014;5779
22;2014;5790
23;2014;879
24;2014;3479
25;2014;6659
26;2014;5965
27;2014;7242
28;2014;5295
29;2014;9088
2A;2014;1371
2B;2014;1616
30;2014;8216
31;2014;16641
32;2014;1643
33;2014;17303
34;2014;13008
35;2014;12555
36;2014;2030
37;2014;6718
38;2014;15664
39;2014;2637
40;2014;3696
41;2014;3517
42;2014;9183
43;2014;2157
44;2014;16701
45;2014;8355
46;2014;1415
47;2014;3347
48;2014;651
49;2014;9780
50;2014;4918
51;2014;6889
52;2014;1881
53;2014;3456
54;2014;8135
55;2014;1928
56;2014;7554
57;2014;11385
58;2014;1801
59;2014;35923
60;2014;10802
61;2014;2810
62;2014;18809
63;2014;6908
64;2014;6497
65;2014;2111
66;2014;4800
67;2014;13262
68;2014;8826
69;2014;26712
70;2014;2458
71;2014;5552
72;2014;6664
73;2014;4798
74;2014;9982
75;2014;29134
76;2014;15199
77;2014;19708
78;2014;19525
79;2014;3718
80;2014;6506
81;2014;3831
82;2014;2829
83;2014;11123
84;2014;7058
85;2014;7070
86;2014;4686
87;2014;3724
88;2014;3679
89;2014;3621
90;2014;1707
91;2014;18903
92;2014;24675
93;2014;29471
94;2014;21566
95;2014;19737
971;2014;5001
972;2014;4367
973;2014;6591
974;2014;14095
976;2014;7306
