dep_code;annee;naissances
01;2019;6907
01;2024;6214
02;2019;5394
02;2024;4696
03;2019;2777
03;2024;2498
04;2019;1369
04;2024;1276
05;2019;1221
05;2024;1122
06;2019;11580
06;2024;9920
07;2019;2982
07;2024;2466
08;2019;2566
08;2024;2161
09;2019;1205
09;2024;1024
10;2019;3107
10;2024;2594
11;2019;3205
11;2024;2794
12;2019;2175
12;2024;1869
13;2019;25288
13;2024;22488
14;2019;6621
14;2024;5792
15;2019;1016
15;2024;929
16;2019;2987
16;2024;2662
17;2019;5149
17;2024;4619
18;2019;2771
18;2024;2374
19;2019;1831
19;2024;1614
21;2019;5062
21;2024;4333
22;2019;5132
22;2024;4599
23;2019;772
23;2024;713
24;2019;2972
24;2024;2669
25;2019;5757
25;2024;4976
26;2019;5476
26;2024;4722
27;2019;6175
27;2024;5461
28;2019;4583
28;2024;3990
29;2019;7975
29;2024;7119
2A;2019;1348
2A;2024;1152
2B;2019;1503
2B;2024;1325
30;2019;7484
30;2024;6546
31;2019;15870
31;2024;14454
32;2019;1388
32;2024;1243
33;2019;16955
33;2024;15392
34;2019;12488
34;2024;10734
35;2019;11639
35;2024;10702
36;2019;1773
36;2024;1533
37;2019;5970
37;2024;5423
38;2019;13925
38;2024;12459
39;2019;2364
39;2024;1895
40;2019;3483
40;2024;3085
41;2019;2936
41;2024;2671
42;2019;8404
42;2024;7304
43;2019;1957
43;2024;1729
44;2019;16221
44;2024;14582
45;2019;7819
45;2024;6960
46;2019;1230
46;2024;1072
47;2019;2984
47;2024;2564
48;2019;578
48;2024;501
49;2019;8483
49;2024;7786
50;2019;4403
50;2024;3948
51;2019;6113
51;2024;5146
52;2019;1424
52;2024;1250
53;2019;3003
53;2024;2841
54;2019;7003
54;2024;5858
55;2019;1551
55;2024;1297
56;2019;6661
56;2024;5974
57;2019;10232
57;2024;8693
58;2019;1522
58;2024;1339
59;2019;31096
59;2024;26558
60;2019;9509
60;2024;8455
61;2019;2349
61;2024;2150
62;2019;15590
62;2024;13903
63;2019;6424
63;2024;5415
64;2019;5893
64;2024;5360
65;2019;1824
65;2024;1665
66;2019;4319
66;2024;4045
67;2019;12019
67;2024;10408
68;2019;7705
68;2024;6633
69;2019;25152
69;2024;21420
70;2019;2044
70;2024;1784
71;2019;4742
71;2024;4094
72;2019;5749
72;2024;5088
73;2019;4383
73;2024;3902
74;2019;9823
74;2024;8818
75;2019;27373
75;2024;21484
76;2019;14044
76;2024;12254
77;2019;18585
77;2024;17109
78;2019;18550
78;2024;17002
79;2019;3347
79;2024;2847
80;2019;5591
80;2024;5026
81;2019;3345
81;2024;2818
82;2019;2555
82;2024;2222
83;2019;10516
83;2024;9435
84;2019;6315
84;2024;5401
85;2019;5973
85;2024;5143
86;2019;4084
86;2024;3631
87;2019;3406
87;2024;2919
88;2019;3123
88;2024;2655
89;2019;3172
89;2024;2687
90;2019;1451
90;2024;1214
91;2019;18520
91;2024;17071
92;2019;22251
92;2024;19804
93;2019;28456
93;2024;24946
94;2019;20399
94;2024;17687
95;2019;19758
95;2024;17445
971;2019;4601
971;2024;3608
972;2019;3749
972;2024;2898
973;2019;8104
973;2024;6849
974;2019;13171
974;2024;11818
976;2019;9768
976;2024;8908
