dep_code,annee,pop_total,pop_0_14,pop_15_29,pop_30_64,pop_65plus
01,2014,626127,127426,103190,293986,101525
02,2014,539783,104628,90613,247430,97112
03,2014,343062,54094,48794,154997,85177
04,2014,161588,26474,22684,73662,38768
05,2014,139883,23942,20096,65291,30554
06,2014,1083312,169982,176813,484831,251686
07,2014,322381,55995,45424,148476,72486
08,2014,279715,51947,45737,129736,52295
09,2014,152574,24706,20844,70441,36583
10,2014,308094,56795,52536,138091,60672
11,2014,365478,61254,52690,164957,86577
12,2014,278644,43996,37596,126366,70686
13,2014,2006069,357911,366747,903364,378047
14,2014,691670,124558,125876,310104,131132
15,2014,146618,21429,19076,68284,37829
16,2014,353853,57356,52154,163402,80941
17,2014,637089,100742,93025,286443,156879
18,2014,310270,51162,45958,141266,71884
19,2014,241340,36825,34075,109414,61026
21,2014,531380,89735,103585,237807,100253
22,2014,597397,104629,85034,266729,141005
23,2014,120581,16797,15239,54858,33687
24,2014,416350,62581,54525,190395,108849
25,2014,534710,99578,101995,238166,94971
26,2014,499159,93602,79392,226796,99369
27,2014,598347,121524,97147,279198,100478
28,2014,433762,85724,69027,199976,79035
29,2014,905855,156646,147282,412879,189048
2A,2014,151652,23405,23766,71549,32932
2B,2014,172560,26688,28432,80684,36756
30,2014,736029,131061,117571,334819,152578
31,2014,1317668,232161,283953,597340,204214
32,2014,190625,30080,24351,87823,48371
33,2014,1526016,264145,292337,699319,270215
34,2014,1107398,186710,212996,487872,219820
35,2014,1032240,199097,204869,458894,169380
36,2014,226175,35276,30739,102602,57558
37,2014,603924,106529,110651,268306,118438
38,2014,1243597,242829,230180,562134,208454
39,2014,260681,47018,39364,119015,55284
40,2014,400477,66965,55534,187556,90422
41,2014,333567,59051,49043,150525,74948
42,2014,757305,138616,129359,332230,157100
43,2014,226565,39665,32877,104601,49422
44,2014,1346592,262109,249366,609324,225793
45,2014,669737,129640,115692,301565,122840
46,2014,173648,25683,21956,79174,46835
47,2014,333234,54769,48349,148994,81122
48,2014,76360,12032,11324,35248,17756
49,2014,805888,159594,147368,354583,144343
50,2014,499958,86512,76616,225454,111376
51,2014,570817,103846,112271,256352,98348
52,2014,180673,30014,27940,83003,39716
53,2014,307471,60928,48544,136472,61527
54,2014,732153,127733,147315,327821,129284
55,2014,191530,34350,30843,88316,38021
56,2014,741051,130315,111514,338261,160961
57,2014,1045154,179794,184136,497648,183576
58,2014,213569,31721,29308,96279,56261
59,2014,2603472,520875,533293,1155471,393833
60,2014,818680,168632,145439,382632,121977
61,2014,287750,49895,42829,128892,66134
62,2014,1472589,294604,264903,669453,243629
63,2014,644216,105399,116805,294559,127453
64,2014,667249,107703,104345,307842,147359
65,2014,228950,35021,32881,104209,56839
66,2014,466327,79196,70358,204906,111867
67,2014,1112815,193128,216574,520154,182959
68,2014,760134,138990,128058,359750,133336
69,2014,1801885,343867,390786,778340,288892
70,2014,238347,43520,35077,111522,48228
71,2014,555788,93241,80186,252857,129504
72,2014,568760,107595,94159,254555,112451
73,2014,426924,76818,71753,199151,79202
74,2014,783127,151984,135889,374291,120963
75,2014,2220445,316556,519927,1034149,349813
76,2014,1257920,233613,236663,563734,223910
77,2014,1377846,295548,262997,642617,176684
78,2014,1421670,292134,256840,657756,214940
79,2014,373553,67657,54335,171960,79601
80,2014,571632,105098,108246,256814,101474
81,2014,384474,64920,56261,173709,89584
82,2014,252578,47457,36986,116024,52111
83,2014,1038212,165234,158317,463736,250925
84,2014,554374,100755,91719,249913,111987
85,2014,662122,122548,96353,300658,142563
86,2014,433203,74657,80470,191387,86689
87,2014,376199,60088,62563,169020,84528
88,2014,373560,63969,58371,172378,78842
89,2014,341814,61217,50331,155860,74406
90,2014,144334,27117,27216,65130,24871
91,2014,1268228,264572,246010,579845,177801
92,2014,1597770,310053,311440,747956,228321
93,2014,1571028,354735,321610,716909,177774
94,2014,1365039,268660,270758,632622,192999
95,2014,1205539,263145,239518,553520,149356
971,2014,400186,81449,67563,188028,63146
972,2014,383911,69890,63012,183374,67635
973,2014,252338,85261,59332,96117,11628
974,2014,842767,202428,175510,382029,82800
