dep,pct_foyers_imposes,revenu_fiscal_moyen_par_foyer,ratio_actifs_retraites,annee
010,55.62,31.52,2.03,2019
020,43.64,22.63,1.66,2019
030,48.93,22.64,1.2,2019
040,48.52,24.47,1.36,2019
050,52.1,24.59,1.48,2019
060,55.65,29.33,1.68,2019
070,49.36,24.2,1.43,2019
080,43.63,22.5,1.53,2019
090,44.53,21.27,1.31,2019
100,48.37,24.63,1.61,2019
110,42.91,21.64,1.29,2019
120,49.48,24.2,1.26,2019
130,50.62,26.75,1.85,2019
140,50.14,26.12,1.64,2019
150,50.2,22.7,1.18,2019
160,47.3,23.62,1.41,2019
170,50.37,25.56,1.27,2019
180,50.74,23.87,1.37,2019
190,51.33,24.09,1.27,2019
210,55.18,27.92,1.73,2019
220,50.06,25.26,1.29,2019
230,46.01,20.25,1.03,2019
240,45.64,22.67,1.2,2019
250,56.13,28.16,1.86,2019
260,50.11,25.55,1.66,2019
270,50.55,25.87,1.82,2019
280,54.15,26.81,1.75,2019
290,51.45,26.13,1.43,2019
2A0,52.3,26.19,1.67,2019
2B0,46.12,23.36,1.5,2019
300,45.84,23.94,1.5,2019
310,55.59,29.09,2.37,2019
320,47.75,23.52,1.28,2019
330,52.79,27.95,1.97,2019
340,46.59,24.94,1.7,2019
350,53.7,28.12,1.98,2019
360,47.19,22.37,1.25,2019
370,53.27,26.44,1.73,2019
380,56.52,28.78,1.96,2019
390,53.49,25.83,1.53,2019
400,50.44,26.3,1.4,2019
410,51.68,25.37,1.46,2019
420,49.48,24.88,1.53,2019
430,49.1,23.65,1.37,2019
440,54.58,28.69,1.98,2019
450,54.96,26.95,1.84,2019
460,49.34,23.57,1.18,2019
470,45.71,22.99,1.33,2019
480,44.87,22.19,1.32,2019
490,49.39,25.98,1.78,2019
500,49.45,24.81,1.36,2019
510,52.75,27.47,1.85,2019
520,45.81,22.5,1.37,2019
530,48.66,24.9,1.55,2019
540,47.99,25.81,1.7,2019
550,46.32,23.31,1.45,2019
560,52.05,26.2,1.36,2019
570,46.86,26.28,1.62,2019
580,48.38,22.22,1.11,2019
590,44.87,24.89,1.95,2019
600,52.48,27.56,2.05,2019
610,46.43,23.18,1.29,2019
620,41.65,22.53,1.71,2019
630,54.39,26.08,1.61,2019
640,52.49,27.28,1.52,2019
650,46.86,22.66,1.3,2019
660,44.89,22.35,1.3,2019
670,55.53,28.5,2.02,2019
680,56.7,30.67,1.88,2019
690,57.06,31.27,2.27,2019
700,48.91,23.88,1.48,2019
710,49.96,24.9,1.36,2019
720,50.39,24.98,1.56,2019
730,59.02,28.72,1.83,2019
740,59.14,36.7,2.39,2019
750,64.29,48.3,2.85,2019
760,49.42,25.62,1.74,2019
770,57.75,29.39,2.62,2019
780,64.61,40.42,2.47,2019
790,48.82,24.76,1.51,2019
800,45.95,23.95,1.7,2019
810,47.07,23.93,1.34,2019
820,45.65,23.33,1.55,2019
830,52.21,27.28,1.38,2019
840,46.97,24.26,1.65,2019
850,51.29,26.21,1.42,2019
860,50.22,24.41,1.6,2019
870,49.75,24.24,1.38,2019
880,46.51,23.36,1.46,2019
890,49.72,24.07,1.43,2019
900,53.86,26.81,1.8,2019
910,60.13,31.77,2.68,2019
920,66.6,45.97,2.86,2019
930,42.69,21.77,3.23,2019
940,57.65,31.5,2.78,2019
950,53.82,28.58,2.84,2019
971,32.66,17.94,1.99,2019
972,35.95,19.56,1.96,2019
973,27.35,18.59,5.07,2019
974,29.1,18.63,3.01,2019
976,18.11,13.12,10.14,2019
B31,55.22,21.04,1.86,2019
