code_departement,nombre_personnes_rsa,annee
01,11375,2024
02,26425,2024
03,13895,2024
04,5055,2024
05,2850,2024
06,22690,2024
07,7620,2024
08,12475,2024
09,7155,2024
10,12860,2024
11,21985,2024
12,4610,2024
13,112780,2024
14,17350,2024
15,2030,2024
16,13835,2024
17,17655,2024
18,12600,2024
19,3840,2024
21,12400,2024
22,13730,2024
23,2920,2024
24,12255,2024
25,19160,2024
26,14575,2024
27,19235,2024
28,12295,2024
29,17935,2024
2A,2920,2024
2B,3935,2024
30,44115,2024
31,55120,2024
32,4525,2024
33,52775,2024
34,59130,2024
35,29015,2024
36,7415,2024
37,20975,2024
38,33460,2024
39,4260,2024
40,10075,2024
41,10820,2024
42,29840,2024
43,3670,2024
44,42180,2024
45,24045,2024
46,4385,2024
47,11795,2024
48,1155,2024
49,20305,2024
50,9115,2024
51,20530,2024
52,5615,2024
53,5575,2024
54,30440,2024
55,5600,2024
56,15775,2024
57,35275,2024
58,7855,2024
59,150635,2024
60,29810,2024
61,9190,2024
62,73195,2024
63,21275,2024
64,17975,2024
65,6970,2024
66,38725,2024
67,37670,2024
68,24265,2024
69,75240,2024
70,4995,2024
71,12615,2024
72,18165,2024
73,7755,2024
74,12020,2024
75,74895,2024
76,58905,2024
77,49270,2024
78,37995,2024
79,9310,2024
80,21950,2024
81,14710,2024
82,8840,2024
83,42510,2024
84,18880,2024
85,8535,2024
86,18365,2024
87,14090,2024
88,13635,2024
89,11670,2024
90,6060,2024
91,48085,2024
92,41725,2024
93,137885,2024
94,67185,2024
95,58685,2024
97,331840,2024
na,14860,2024
